"RegionID","Title","DSID","CodeGIBDD","CodeGOST","Capital","Population","RegionHeadID","RCID","Indicator"
1,"Алтайский край",5,"22","RU-ALT","г.Барнаул",2130950,NULL,NULL,NULL
2,"Амурская область",1,"28","RU-AMU","г.Благовещенск",756198,NULL,NULL,NULL
3,"Архангельская область",3,"29","RU-ARK","г.Архангельск",964304,NULL,NULL,NULL
4,"Астраханская область",8,"30","RU-AST","г.Астрахань",950557,NULL,NULL,NULL
5,"Республика Башкортостан",2,"02","RU-BA","г.Уфа",4077600,NULL,NULL,NULL
6,"Белгородская область",7,"31","RU-BEL","г.Белгород",1514527,NULL,NULL,NULL
7,"Брянская область",7,"32","RU-BRY","г.Брянск",1152505,NULL,NULL,NULL
8,"Республика Бурятия",1,"03","RU-BU","г.Улан-Удэ",974628,NULL,NULL,NULL
9,"Владимирская область",7,"33","RU-VLA","г.Владимир",1325510,NULL,NULL,NULL
10,"Волгоградская область",8,"34","RU-VGG","г.Волгоград",2470057,NULL,NULL,NULL
11,"Вологодская область",3,"35","RU-VLG","г.Вологда",1128782,NULL,NULL,NULL
12,"Воронежская область",7,"36","RU-VOR","г.Воронеж",2285282,NULL,NULL,NULL
13,"Город Байконур",10,"94","KZ-BAY","г.Байконур",0,NULL,NULL,NULL
14,"Город федерального значения Москва",7,"77","RU-MOW","г.Москва",13104177,NULL,NULL,NULL
15,"Республика Дагестан",4,"05","RU-DA","г.Махачкала",3209781,NULL,NULL,NULL
16,"Донецкая Народная Республика",9,"80","RU-DON","г.Донецк",2202440,NULL,NULL,NULL
17,"Еврейская автономная область",1,"79","RU-YEV","г.Биробиджан",147458,NULL,NULL,NULL
18,"Забайкальский край",1,"75","RU-ZAB","г.Чита",992429,NULL,NULL,NULL
19,"Запорожская область",9,"85","RU-ZP","г.Мелитополь",0,NULL,NULL,NULL
20,"Ивановская область",7,"37","RU-IVA","г.Иваново",914725,NULL,NULL,NULL
21,"Иркутская область",5,"38","RU-IRK","г.Иркутск",2344360,NULL,NULL,NULL
22,"Кабардино-Балкарская Республика",4,"07","RU-KB","г.Нальчик",903266,NULL,NULL,NULL
23,"Калининградская область",3,"39","RU-KGD","г.Калининград",1032343,NULL,NULL,NULL
24,"Калужская область",7,"40","RU-KLU","г.Калуга",1070853,NULL,NULL,NULL
25,"Камчатский край",1,"41","RU-KAM","г.Петропавловск-Камчатский",288730,NULL,NULL,NULL
26,"Карачаево-Черкесская Республика",4,"09","RU-KC","г.Черкесск",468444,NULL,NULL,NULL
27,"Республика Карелия",3,"10","RU-KR","г.Петрозаводск",527880,NULL,NULL,NULL
28,"Кемеровская область — Кузбасс",5,"42","RU-KEM","г.Кемерово",2568238,NULL,NULL,NULL
29,"Кировская область",2,"43","RU-KIR","г.Киров",1138112,NULL,NULL,NULL
30,"Костромская область",7,"44","RU-KOS","г.Кострома",571900,NULL,NULL,NULL
31,"Краснодарский край",8,"23","RU-KDA","г.Краснодар",5819345,NULL,NULL,NULL
32,"Красноярский край",5,"24","RU-KYA","г.Красноярск",2845545,NULL,NULL,NULL
33,"Республика Крым",8,"82","RU-CR","г.Симферополь",1916805,NULL,NULL,NULL
34,"Курганская область",6,"45","RU-KGN","г.Курган",761586,NULL,NULL,NULL
35,"Курская область",7,"46","RU-KRS","г.Курск",1067034,NULL,NULL,NULL
36,"Ленинградская область",3,"47","RU-LEN","г.Гатчина",2023767,NULL,NULL,NULL
37,"Липецкая область",7,"48","RU-LIP","г.Липецк",1126263,NULL,NULL,NULL
38,"Луганская Народная Республика",9,"81","RU-LUG","г.Луганск",0,NULL,NULL,NULL
39,"Магаданская область",1,"49","RU-MAG","г.Магадан",134315,NULL,NULL,NULL
40,"Республика Мордовия",2,"13","RU-MO","г.Саранск",771373,NULL,NULL,NULL
41,"Московская область",7,"50","RU-MOS","г.Москва",8591736,NULL,NULL,NULL
42,"Мурманская область",3,"51","RU-MUR","г.Мурманск",658698,NULL,NULL,NULL
43,"Ненецкий автономный округ",3,"83","RU-NEN","г.Наряьн-Мар",41383,NULL,NULL,NULL
44,"Нижегородская область",2,"52","RU-NIZ","г.Нижний Новгород",3081817,NULL,NULL,NULL
45,"Новгородская область",3,"53","RU-NGR","г.Великий Новгород",575926,NULL,NULL,NULL
46,"Новосибирская область",5,"54","RU-NVS","г.Новосибирск",2794266,NULL,NULL,NULL
47,"Омская область",5,"55","RU-OMS","г.Омск",1832064,NULL,NULL,NULL
48,"Оренбургская область",2,"56","RU-ORE","г.Оренбург",1841377,NULL,NULL,NULL
49,"Орловская область",7,"57","RU-ORL","г.Орёл",700276,NULL,NULL,NULL
50,"Пензенская область",2,"58","RU-PNZ","г.Пенза",492376,NULL,NULL,NULL
51,"Пермский край",2,"59","RU-PER","г.Пермь",2508352,NULL,NULL,NULL
52,"Приморский край",1,"25","RU-PRI","г.Владивосток",1820076,NULL,NULL,NULL
53,"Псковская область",3,"60","RU-PSK","г.Псков",587786,NULL,NULL,NULL
54,"Республика Адыгея",8,"01","RU-AD","г.Майкоп",497985,NULL,NULL,NULL
55,"Республика Алтай",5,"04","RU-AL","г.Горно-Алтайск",210769,NULL,NULL,NULL
56,"Республика Ингушетия",4,"06","RU-IN","г.Магас",519078,NULL,NULL,NULL
57,"Республика Калмыкия",8,"08","RU-KL","г.Элиста",264483,NULL,NULL,NULL
58,"Республика Коми",3,"11","RU-KO","г.Сыктывкар",726434,NULL,NULL,NULL
59,"Республика Марий Эл",2,"12","RU-ME","г.Йошкар-Ола",672321,NULL,NULL,NULL
60,"Республика Северная Осетия — Алания",4,"15","RU-SE","г.Владикавказ",680748,NULL,NULL,NULL
61,"Республика Татарстан",2,"16","RU-TA","г.Казань",4001625,NULL,NULL,NULL
62,"Республика Тыва",5,"17","RU-TY","г.Кызыл",337271,NULL,NULL,NULL
63,"Республика Хакасия",5,"19","RU-KK","г.Абакан",530233,NULL,NULL,NULL
64,"Ростовская область",8,"61","RU-ROS","г.Ростов",4164547,NULL,NULL,NULL
65,"Рязанская область",7,"62","RU-RYA","г.Рязань",1088918,NULL,NULL,NULL
66,"Самарская область",2,"63","RU-SAM","г.Самара",3142683,NULL,NULL,NULL
67,"Санкт-Петербург",3,"78","RU-SPE","г.Санкт-Петербург",5600044,NULL,NULL,NULL
68,"Саратовская область",2,"64","RU-SAR","г.Саратов",2404944,NULL,NULL,NULL
69,"Республика Саха (Якутия)",1,"14","RU-SA","г.Якутск",997565,NULL,NULL,NULL
70,"Сахалинская область",1,"65","RU-SAK","г.Южно-Сахалинск",460535,NULL,NULL,NULL
71,"Свердловская область",6,"66","RU-SVE","г.Екатеринбург",4239161,NULL,NULL,NULL
72,"Севастополь",8,"92","—","г.Севастополь",558273,NULL,NULL,NULL
73,"Смоленская область",7,"67","RU-SMO","г.Смоленск",873041,NULL,NULL,NULL
74,"Ставропольский край",4,"26","RU-STA","г.Ставрополь",550260,NULL,NULL,NULL
75,"Тамбовская область",7,"68","RU-TAM","г.Тамбов",966250,NULL,NULL,NULL
76,"Тверская область",7,"69","RU-TVE","г.Тверь",1211183,NULL,NULL,NULL
77,"Томская область",5,"70","RU-TOM","г.Томск",1052106,NULL,NULL,NULL
78,"Тульская область",7,"71","RU-TUL","г.Тула",1481471,NULL,NULL,NULL
79,"Тюменская область",6,"72","RU-TYU","г.Тюмень",1608494,NULL,NULL,NULL
80,"Удмуртская Республика",2,"18","RU-UD","г.Ижевск",1442251,NULL,NULL,NULL
81,"Ульяновская область",2,"73","RU-ULY","г.Ульяновск",1181006,NULL,NULL,NULL
82,"Хабаровский край",1,"27","RU-KHA","г.Хабаровск",1284090,NULL,NULL,NULL
83,"Ханты-Мансийский автономный округ — Югра",6,"86","RU-KHM","г.Ханты-Мансийск",1730353,NULL,NULL,NULL
84,"Херсонская область",9,"84","RU-HR","г.Геническ",0,NULL,NULL,NULL
85,"Челябинская область",6,"74","RU-CHE","г.Челябинск",3407145,NULL,NULL,NULL
86,"Чеченская Республика",4,"20","RU-CE","г.Грозный",1533209,NULL,NULL,NULL
87,"Чувашская Республика —  Чувашия",2,"21","RU-CU","г.Чебоксары",1173177,NULL,NULL,NULL
88,"Чукотский автономный округ",1,"87","RU-CHU","г.Анадырь",47840,NULL,NULL,NULL
89,"Ямало-Ненецкий автономный округ",6,"89","RU-YAN","г.Салехард",512387,NULL,NULL,NULL
90,"Ярославская область",7,"76","RU-YAR","г.Ярославль",1194605,NULL,NULL,NULL
